name,description,categories,Website,category,address,email,phone,zipcode,city,country
Soap Studios,"Eco en duurzame producten. Van geurkaarsen, pillow sprays en natuurlijke zepen tot duurzame zonnebrillen.",Toiletbenodigdhedenwinkel,http://www.soap-studios.nl,beauty_wellbeing,,info@soap-studios.nl,,1104EA,Amsterdam,Nederland
KIS Haircare,,Haarproductenwinkel,https://kis-haircare.nl,beauty_wellbeing,Europaweg 220,info@kis-haircare.nl,+31555431111,7336 AR,Apeldoorn,Nederland
Uniqmale,"UNIQMALE is a fashion & lifestyle brand from Amsterdam, Netherlands. We are going back to what matters: EACH UNIQ YOU!

The concept is about offering a platform with only a selected line of products so it’s easy for customers to get inspired instead of having a decision fatigue. 

We work closely with our suppliers within Europe (EU) to bring you products that are well crafted, durable, and will improve your quality of life.

To be able to showcase and offer you a unique selected line of products some products are in some cases shipped directly from our partners in which it is shipped directly from our logistic partner in Spain and others directly from brands and or directly from UNIQMALE in Amsterdam.

What you find here, will inspire you. ",Herenmode,http://uniqmale.com,beauty_wellbeing,Oudezijds Achterburgwal 126F,service@uniqmale.com,0207865969,1012DT,Amsterdam,Nederland
Bodysupplementen,Body Supplementen en Sportvoeding voor elke doelstelling.,Sportvoedingswinkel,http://bodysupplementen.nl,beauty_wellbeing,Passage 240,bestellen@bodysupplementen.nl,0172 240 594,2741GS,Waddinxveen,Nederland
Samihair,,Cosmetisch productleverancier,http://samihair.nl,beauty_wellbeing,Bijlmerplein 722,Info@samihair.nl ,020-3044624,1102MA,Amsterdam ,Nederland
The Hair Fuel,"All natural, vegan hair mask which fuels your hair growth and manages hair loss from the roots. Free from SLS, palm oil and parabens. Cruelty-free",Cosmetische producten leverancier,http://thehairfuel.com,beauty_wellbeing,"Overtoom 141, BounceSpace",hello@thehairfuel.com,,1054HG,Amsterdam,Nederland
Dailysupps,"Welkom bij Daily Supps!

Ooit begonnen vanuit een passie om andere te helpen en nu van passion to profession. Wij bieden begeleiding aan in sport en voeding. We creëren een bewuste leefstijl waarin de mentale en fysieke gesteldheid samensmelten tot een evenwichtig geheel. Wij bieden innovatieve producten, trainingskuren en lifestyleprogramma’ aan, welke volgens de laatste wetenschappelijke inzichten zijn samengesteld. Deze producten zijn tot stand gekomen door wetenschappelijke onderzoeken in samenwerking met verschillende universiteiten.",Fitness- en voedingsservice,http://dailysupps.nl,beauty_wellbeing,Jac. Jongertstraat,info@dailysupps.nl,06-52556052,3059PE,Rotterdam,Nederland
The Drag Room,The go-to web shop and content centre for drag artists worldwide.,Kledingwinkel,http://thedragroom.com,beauty_wellbeing,,info@thedragroom.com,,,,Nederland
soaptreatmentstore.com,"In 2005 openden we de eerste soap treatment store aan de Spuistraat in Amsterdam met een geheel nieuwe opzet van een beauty salon & store. Al snel bleken alle treatments, de ruime openingstijden, de topservice en de fijne omgeving een groot succes. De tweede store, aan de Van Baerlestraat in Amsterdam, werd al snel geopend. Inmiddels zijn er, naast Amsterdam, ook soap treatment stores in Den Haag, Rotterdam, Eindhoven, Utrecht en Haarlem. Hier kun je dagelijks van 9 tot 21uur terecht voor facials, manicure, pedicure, waxing, massage en andere beauty treatments en -products van top niveau. We richten ons bij iedere behandeling altijd op het best mogelijke resultaat. En ontspanning en pampering? Dat vinden wij een logische service die iedereen kan verwachten bij ons.",Schoonheidssalon,http://soaptreatmentstore.com,beauty_wellbeing,,,,,,Nederland
Ayman Majeri,"#1 Sportvoeding, Sportapparaten, Sportkleding en accessoires.
Groothandel en detailhandel",Fitness- en voedingsservice,https://bebulknutrition.com/,beauty_wellbeing,"Scheepmakerstraat, 1C2",BULKLABNUTRITION@gmail.com,0644111392,2222 AB,Katwijk,Nederland
Conceive Plus NL - Vruchtbaarheidsproducten,"Het gebruik van Conceive Plus bij het proberen zwanger te worden, kan uiteraard de kansen op zwangerschap vergroten. Conceive Plus Fertility Glijmiddel is het ENIGE smeermiddel dat essentiële calcium- en magnesiumionen bevat om het bevruchtbaarheid proces te ondersteunen. De extra glijmiddel die door Conceive Plus wordt aangeboden, kan de kans op het bereiken van het ei vergroten.
<br><br>
<a href=""https://www.conceiveplus.nl/product-category/vruchtbaarheidsmiddel/""> VRUCHTBAARHEIDSMEERMIDDEL </a><br>
<a href=""https://www.conceiveplus.nl/product-category/vruchtbaarheid-vitamines/""> VRUCHTBAARHEIDSVITAMINEN </a><br>
<a href=""https://www.conceiveplus.nl/product-category/speciale-aanbiedingen/""> SPECIALE AANBIEDINGEN </a><br><br>

Wanneer je bereid bent om zwanger te worden, is het belangrijk om je lichaam voor te bereiden op de bevruchting. Conceive Plus Women’s Fertility Support is speciaal samengesteld met een combinatie van vitamines en mineralen om uw lichaam te ondersteunen. Conceive Plus ondersteuning voor vruchtbaarheid is geformuleerd voor positieve resultaten – om paren te helpen om op natuurlijke wijze zwanger te worden.<br><br>

<a href=""https://www.conceiveplus.nl"">Visit www.conceiveplus.nl</a>",Vitamine- en supplementenwinkel,http://conceiveplus.nl,beauty_wellbeing,,helpdesk@conceiveplus.nl,,,,Nederland
Green Industries,"Green Industries is a wholesale distribution company based in the Netherlands since 2016. It is the result of our love for the Cannabis Sativa plant and a healthy lifestyle.

Pura Vida CBD is our own brand of CBD and Hemp products. These products are all raw and organic and hand-made in Europe. On our website you can buy Hemp oil containing a full spectrum of cannabinoids, Canna Balm, CBD Tea, CBD Honey and many other natural and raw health supplements to compliment a healthy lifestyle. 

We also represent and promote unique and innovative products and brands.

What also is very important for Green Industries is nature. All the products that we sell are 100% organic and pure, that also applies for the brands that we are recommending. 

Nature is perfect - why change it?",Beauty en welzijn,http://greenindustries.shop,beauty_wellbeing,Otterkoog 16G,support@greenindustries.shop,+31725823667,1822BW,Alkmaar,Nederland
Fixmyhair,"Wij zijn een vrij jong bedrijf dat zich heeft gespecialiseerd in haar en haarverzorging. Met ons team beschikken we over meer dan 20 jaar ervaring op het gebied van synthetisch haar, real-hair, European hair, haarverzorging en huidverzorging. Met deze ervaring kunnen wij u heel goed adviseren over bijvoorbeeld: extensions, braids, wigs, lace-wigs en overige haarverzorging.",Haarproductenwinkel,https://www.fixmyhair.nl,beauty_wellbeing,Linschotenstraat 22B,info@fixmyhair.nl,+31 643056025,3044 AW,Rotterdam,Nederland
Slakkenwonder,"Slakkenwonder herstelt en verzorgt de huid.
Puistjes, littekens, striae, zwangersschap-striemen,psoriasis, e.d. verdwijnen of verbeteren aanzienlijk.Het is geschikt voor iedere huid van zowel mannen, vrouwen en kinderen.",Huidverzorgingskliniek,http://www.slakkenwonder.nl,beauty_wellbeing,Hoofdweg 98-142,info@allaboutservices.nl,06-44434788,3641 PT,Mijdrecht,
Targetmart,"Target Mart is een onafhankelijk Nederlands import-export bedrijf, dat voornamelijk handelt in Afro cosmetica, synthetische en Human-haar (100% Braziliaans en Peruviaans haar). Er is ook een ruime assortiment aan kappersbenodigdheden en tropische voedingsproducten (grotendeels uit Afrika, Azië en zuid-Amerika).

Targetmart.nl(webshop) Distributiecentrum
Kiotoweg 124-126
3047BG, Rotterdam
The Netherlands
websop@targetmart.nl

fysiek locaties
1- Target Mart Utrecht
     Amsterdamsestraatweg 311
     3551 CH
     Utrecht

2- Target Mart Schiedam 
    Mgr.Nolenslaan 520-522
    3119 EN
    Schiedam
",Haarproductenwinkel,http://targetmart.nl,beauty_wellbeing,Kiotoweg 124-126,webshop@targetmart.nl,010-2035303,3047BG,Rotterdam,Nederland
TopParfumerie,"GROOTSTE KEUZE IN PARFUM VOOR DAMES EN HEREN 

Wij doen iedere dag onze uiterste best om ons uitgebreide assortiment originele merkgeuren zo snel mogelijk te versturen. Is je artikel op voorraad en bestel je op werkdagen voor 22.00 uur, dan is je parfum morgen in huis. 

TopParfumerie heeft alle populaire, maar ook de moeilijk verkrijgbare parfums. Al onze parfums zijn 100% origineel. Als parfum specialist hebben wij meer dan 7500 geuren in ons assortiment. Allemaal scherp geprijsd en tot 60% onder de adviesprijs. ",Parfumerie,http://www.topparfumerie.nl,beauty_wellbeing,,,,,,Nederland
Fonteyn Outdoor Living Mall,"<p>Iedereen meer laten genieten van het buitenleven, dat is waar wij van Fonteyn dagelijks naar streven. Dat bereiken we onder andere door u  het grootste assortiment outdoor artikelen van Europa aan te bieden. Dit assortiment spitst zich toe op zeven specialiteiten: tuinmeubelen, veranda’s, spa’s, buitenkeukens, zwembaden, sauna’s en tuinhuizen. Dit complete assortiment staat breed opgesteld in onze sfeervolle showroom van maar liefst 35.000 m2. Alle artikelen worden u gepresenteerd in sfeervolle tuinsettingen, zodat u zoveel mogelijk inspiratie kunt opdoen voor uw eigen tuin.</p>
<p>
Dankzij ons brede assortiment, hebben we voor iedere wens en portemonnee een geschikt product. Onze even deskundige als gepassioneerde adviseurs helpen u graag bij het vinden van dit product. Zij zorgen er met hun brede knowhow voor dat u altijd slaagt. Wat u bij ons ook aanschaft, u kunt altijd vertrouwen op de hoogwaardige kwaliteit ervan, aangezien we werken met alleen het duurzaamste materiaal en de laatste technieken.</p>
<p>Bij Fonteyn kunt u rekenen op een uitstekende service, zowel voor als na aanschaf. Ons complete aanbod ligt opgeslagen in onze enorme voorraadkelder van wel 60.000 m3, zodat u nooit misgrijpt. Mocht u jaren later weer eens een onderdeel nodig hebben, dan heeft u dat vaak de volgende dag al in huis, om weer optimaal van uw investering te kunnen genieten. </p>
<p>Veel buitenplezier!</p>",Tuincentrum,https://www.fonteyn.nl,beauty_wellbeing,Meervelderweg 52,ishop@fonteyn.nl,0577- 45 60 40,3888 NK,Uddel,Nederland
Massagepraktijk Jofel,"Wellness & sportmassage praktijk. Ook stoelmassages.
Bij Massagepraktijk Jofel ervaar je rust en persoonlijke aandacht zonder tijdsdruk. Met zachte achtergrondmuziek (of in stilte) kun je helemaal ontspannen en genieten van een massage met een geurige warme olie terwijl je lichaam warm is toegedekt op delen waar niet wordt gemasseerd. ",Massagetherapeut,http://www.massagepraktijkjofel.nl,beauty_wellbeing,Westzijdsepad 3,agnes@massagepraktijkjofel.nl,0628053335,3194nc,Hoogvliet - Tussenwater,Nederland
Voeding-Lifestyle,"Stuff4.nl - veel mooie producten.
Beauty4.nl - make-up van Younique
Herbalife - doormiddel van mensen te helpen met de goede balans te vinden in hun dagelijkse voeding (80% = voeding) 
Nails4.nl - Coming Soon
Wij werken online aan kleine voorraden, maar wel met een wisselend assortiment.",Cosmetica winkel,http://voeding-lifestyle.nl,beauty_wellbeing,J.Kruijverstraat 74,info@voeding-lifestyle.nl,0614044847,1507WK,Zaandam,Nederland
Parfum Hanneke,FM Parfum Hanneke,Cosmetica en parfums leverancier,http://www.parfum-hanneke.nl,beauty_wellbeing,,info@parfum-hanneke.nl,,,Enschede,Nederland
Superfinil,"Superfinil is a global modafinil (cognitive enharcers) merchant. We are based in The Netherlands we ship all over Europe, UK and the USA. For customers in Amsterdam and around we have same day delivery. Our products are from trusted manufacturers like Sunpharma and HAB. Superfinil customer service is topnotch 24/7 available and ready to answer all of your questions! Shipping in EU takes from 1 day to no longer then 5 weekdays. Our number one priority is the safety of our products and guarenteed delivery.",Apotheek,http://www.superfinil.com,beauty_wellbeing,,info@superfini.com,0684427107,,,Nederland
Steamy Amsterdam,Steamy is DE gezichtsstomer voor een frisse en gezonde huid! ,Sauna,http://steamyamsterdam.com,beauty_wellbeing,Bergweg 1,Steamyamsterdam@gmail.com,,6881 LL,Velp,Nederland
Zerosugarstore,Dé store voor suikervrije en zonder toegevoegde suiker producten.,Fitness- en voedingsservice,http://zerosugarstore.com,beauty_wellbeing,,info@zerosugarstore.com,0630677160,,Molenhoek,Nederland
Beautysalon Body Line.nu ,"Onze passie is de schoonheidsbranche, het verzorgen van een ware beleving. De huid datgene geven wat het nodig heeft en mensen tevreden maken. ",Schoonheidssalon,http://beautysalon-body-line.nu,beauty_wellbeing,Beatrixstraat 1a ,info@beautysalon-body-line.nu,0638855171,2685 BG ,Poeldijk,Nederland
Cbdonlineshop,Bij ons treft een een scala aan CBD producten aan.,Beauty en welzijn,http://cbdonlineshop.com,beauty_wellbeing,Nieuwe Haagdijk 69,info@cbdonlineshop.com,0765224030,4811TC,Breda,Nederland
10KATE,100% Natuurlijk Supplementen voor een beter leven.,Vitamine- en supplementenwinkel,https://www.10kate.com,beauty_wellbeing,Sluisstraat 56,healthy@10kate.com,+31644006555,9581 JC,Musselkanaal,Nederland
Nailah,"Vegan & cruelty-free skincare. Inspired by the richness of the Middle-Eastern and North African fruits, flowers and herbs.",Cosmeticabranche,http://nailah.eu,beauty_wellbeing,,info@nailah.eu,0639870566,,,Nederland
BDRMstories,Alles voor de spannende en sfeervolle slaapkamer,Massagebenodigdheden winkel,http://bdrmstories.com,beauty_wellbeing,,,,,,Nederland
Bodygun,"Wij helpen jou beter bewegen door middel van percussieve therapie, een innovatieve manier van massage. ",Massagebenodigdheden winkel,http://www.bodygun.nl,beauty_wellbeing,,Contact@bodygun.nl,,,,Nederland
Vice Versa uw thuiskapster in de regio Hoeksewaard,Vice Versa uw thuiskapster in de regio Hoeksewaard (Hoeksche Waard). Voor een complete metamorfose of het onderhouden van uw huidige kapsel zit u bij ons goed!,Kapper,https://www.thuiskapsterhw.nl,beauty_wellbeing,Molendijk 58,info@thuiskapsterhw.nl,085 301 3160,3286 BH,Klaaswaal,Nederland
NXT Level Sports Nutrition,"NXT Level is a nutrition platform for every body, and every goal. With our team, we empower you to live your best life. From weight loss to well-being, we are here to help you follow through. Full of flavor, free of bullshit and fueled with positive energy.",Fitness- en voedingsservice,http://nxtlevel.com,beauty_wellbeing,,info@nxtlevel.com,,,,Nederland
JuiceXpress,"Detox kuur en sappenkuur - 100% gezonde sappen zonder enige toevoegingen. Gembershotjes, Kurkuma kuur, Maaltijdvervanger. Ali B vind deze heerlijk en u?",Fitness- en voedingsservice,http://juicexpress.nl,beauty_wellbeing,,,,,,Nederland
ProduceShop - The Netherlands,,Beauty en welzijn,https://www.produceshop.nl,beauty_wellbeing,,support@produceshop.nl,,,,Nederland
Tirendo,,Beauty en welzijn,http://tirendo.nl,beauty_wellbeing,,,,,,
ShytoBuy Netherlands,"ShytoBuy.nl biedt natuurlijke producten aan voor mannen en vrouwen om gênante problemen te overwinnen. Ons productassortiment is uitgebreid, van gezondheids- en schoonheidsproducten tot aan welzijn producten voor in de slaapkamer. Deze producten kunnen de volgende werkdag al geleverd worden in een neutrale, discrete verpakking en je kunt bij onze vriendelijke klantenservice terecht in meer dan 10 Europese talen.

Opgericht in 2004, ShytoBuy is de grootste online retailer in Europa die oplossingen aanbied voor problemen waarover mensen zich bezwaard voelen. Met meer dan 500 producten om uit te kiezen, biedt deze website een grote keuze zonder dat de kwaliteit van de producten hier onder lijdt. ShytoBuy klanten vertrouwen op onze merken en professionele klantenservice in de verschillende talen, waardoor we inmiddels bijna over ter wereld een 24-uurs levering kunnen bieden.",Huidverzorgingskliniek,https://www.shytobuy.nl/,beauty_wellbeing,"Konnetlaantje 4, Rijsenhout",info@shytobuy.nl,+31 858 884 418,1435 HW,Rijsenhout,Nederland
Fonteynspas ,"<p>Bij Fonteyn Spas hebben we één missie: u gelukkig maken met heerlijke wellness. Daarvoor bieden we een breed assortiment luxe spabaden aan. Al onze spa’s zijn ontworpen in samenwerking met vakkundige fysiotherapeuten. De hydrotherapie van onze spa’s voelt dus aan als een professionele massage, voor optimale ontspanning. Die ontspanning wordt nog eens extra aangedikt door ergonomisch ontworpen kuipen, sfeervolle led verlichting en kabbelende watervalletjes. Kortom: u komt nergens zo lekker tot rust als in één van onze spabaden.</p>


<p>We begrijpen dat u zeker wilt zijn van uw investering; helemaal als het gaat om een luxeproduct als uw eigen spa. Daarom heeft u bij ons de unieke mogelijkheid om een spa te testen in onze sfeervolle Spa Experience: een afsluitbare ruimte in onze 35.000 m2 grote showroom, waar u voorzien bent van alle gemakken om een spa optimaal te ervaren. Daarnaast kunt u altijd een beroep doen op onze deskundige adviseurs. Zij kunnen uw wensen als geen ander koppelen aan de ideale spa. </p>


<p>Bij Fonteyn Spas willen we dat u blijvend gelukkig wordt van uw spa. Daarom ondergaan al onze spa’s uitvoerige kwaliteitstest voor we ze bij u bezorgen. Ook kunt u rekenen op een uitstekende service. Mocht er , wanneer dan ook, iets aan vervanging toe zijn, dan zorgen wij dat u dat vaak de volgende dag al in huis heeft. Bij ons staat u voorop.</p>",Huidverzorgingskliniek,https://www.fonteynspas.com,beauty_wellbeing,Meervelderweg 52,info@fonteynspas.com,0577-456040,3888NK,Uddel,Nederland
ABOUT the ROSE,"Ontdek de kracht van Bulgaarse rozenolie en rozenwater van ""The queen of roses"" Rosa Damascena met de rozen cosmetica van Bulgarian Rose - Karlovo vol met natuurlijke ingrediënten.",Cosmeticawinkel,http://abouttherose.nl,beauty_wellbeing,,info@abouttherose.nl,,,Houten,Nederland
Stagept,"Jong en dynamisch bedrijf gespecialiseerd in Personal Training, Lifestyle Coaching, Voeding en Sportmassage",Vitamine- en supplementenwinkel,http://stagept.nl,beauty_wellbeing,Hamelenburg 20,info@stagept.nl,0655122898,2135ER,Hoofddorp,Nederland
MindWay,"MindWay is a company that wants to provide people everywhere with the chance to examine their lives on a deeper level to find the best version of themselves. Through strategic methods and guidance, our programs take you from a routine of uncertainty to determined, targeted, and driven action. Our methods are standing on the shoulders of decades of extensive scientific research coming together in practical tools.",Beauty en welzijn,http://mymindway.com,beauty_wellbeing,Delflandplein 1762,info@mymindway.com,,1062HW,Amsterdam,Nederland
Mr Eiwit,"Ons verhaal begint bij..

Jouw healthy lifestyle!

Als je hard aan je gezondheid werkt dan helpt Mr. Eiwit je graag een handje mee. Het is niet altijd zo geweest dat de supplementen daadwerkelijk bevatten wat ze beweerden. Daarom vond Mr. Eiwit dat het tijd werd voor een flinke portie Hollandse nuchterheid in de supplementen industrie.

Want, als je wilt dat iets goed gebeurd, dan kun je het beter zelf doen!

Door middel van een eerlijk advies en een heldere product uitleg in combinatie met kwalitatief goede voeding zal Mr. Eiwit jou inspireren & motiveren tot een gezonde levensstijl.",Fitness- en voedingsservice,http://mreiwit.nl,beauty_wellbeing,Ruisvoorn 5,info@mreiwit.nl,,4941 SB,Raamsdonksveer,Nederland
Pureandcure,"Dè webshop voor natuurlijke, dierproefvrije cosmetische producten en voedingssupplementen van hoge kwaliteit. Official Reseller van Mecitefendi Producten.",Cosmetica winkel,http://www.pureandcure.nl,beauty_wellbeing,,,,,,Nederland
Geurle,Speciale geuren voor thuis of op kantoor,Geuren- en aromaleverancier,http://geurle.nl,beauty_wellbeing,,support@geurle.nl,,,,Nederland
Mediccanna,Rick Simpson oil (RSHO / RSO oil) and tinctures,Beauty en welzijn,http://www.mediccanna.com,beauty_wellbeing,,mediccanna@outlook.com,0617431477,,Amsterdam,Nederland
TiZoiMas Body & Soul Care | Massagepraktijk,"TiZoiMas Body & Soul Care is een massagepraktijk gericht op sport- en ontspanningsmassage voor lichaam en geest van jong tot oud. Met verschillende massage technieken passen wij onze werkwijze aan, afgestemd op uw specifieke situatie.",Massagetherapeut,http://tizoimas.nl,beauty_wellbeing,,info@tizoimas.nl,+31(0)6 141 77 369,,Purmerend e.o.,Nederland
Ambachtscreme,"Wij zijn dé producent van hoogwaardige Oud Hollandsche Ambachtscrème producten, bestaande uit droge handen- en voetencrème, zeep, balsems en spiercrèmes.",Cosmetische producten leverancier,http://ambachtscreme.nl,beauty_wellbeing,,,,,,Nederland
DrVeda,"Ayurveda, maar dan simpel!",Vitamine- en supplementenwinkel,https://www.drveda.nl,beauty_wellbeing,,contact@drveda.nl,+31 71 2340 760,,,Nederland
Be-Fit Nutrition,"Be-Fit Nutrition heeft een assortiment bestaande uit designer supplementen van hoge kwaliteit, omdat de producten bestaan uit duurzame en natuurlijke ingrediënten die zorgvuldig zijn geselecteerd.

Met de samenstelling van deze ingrediënten hebben wij, in samenwerking met sporters en deskundigen, een assortiment naar de behoefte van sporters ontwikkeld.

Onze focus is gericht op de inhoud en effectiviteit. Elk product is dan ook specifiek ontwikkeld om het beste resultaat uit je training te halen.",Vitamine- en supplementenwinkel,http://be-fitnutrition.nl,beauty_wellbeing,zandkreekstraat 14,info@be-fitnutrition.nl,0611261691,7417 CS,Deventer,Nederland
Fitplein,Hét platform dat Nederland inspireert en met een wekelijkse blog jou uitdaagt gezonde gewoonten een praktische plek te geven in jouw steeds gezondere lifestyle!,Gezondheids- en schoonheidsartikelen winkel,https://www.fitplein.nl,beauty_wellbeing,Herenweg 15,info@fitplein.nl,020 - 30 90 400,3602AM,Maarssen,Nederland
Q Muscle,Bij Q-Muscle verkopen we sportsupplementen van een hoge kwaliteit. Wij vinden het belangrijk dat iedereen op zijn eigen manier zijn of haar doel kan bereiken en willen daar graag bij helpen door de juiste supplementen aan te bieden. ,Vitamine- en supplementenwinkel,http://q-muscle.nl,beauty_wellbeing,Industrieweg 1a,q-muscle@hotmail.com,,4675RA,Sint-Philipsland,Nederland
Marcelina,"Website in kaarten, sieraden, accessoires en meer. Kort samengevat: een cadeautjeswebshop! :)",Cadeauwinkel,http://marcelina.eu,beauty_wellbeing,de horst 8,info@marcelina.eu,,8309CK,Tollebeek,Nederland
Infinity CBD Nederland,,Gezondheids- en schoonheidsartikelen winkel,https://www.infinitycbd.nl,beauty_wellbeing,Duinkerkenstraat 5,info@infinitycbd.nl,,9723BN,Groningen,Nederland
Tigrie,www.tigrie.nl,Algemene winkel,http://tigrie.nl,beauty_wellbeing,,tigrie@mail.com,,3181ST,Rozenburg,Nederland
BY OLIVE,"By Olive is een online winkel met een uitgebreid assortiment natuurlijke, biologische en veganistische gezondheids- en schoonheidsproducten van een nieuw gelanceerde eigen merkcollectie. Allemaal verantwoord verpakt; plasticvrij en zonder afvalverpakking.",Toiletbenodigdhedenwinkel,http://byolive.org,beauty_wellbeing,Eigen Erf 13,support@byolive.org,06-22780702,6006VV,Weert,Nederland
Nowvitamins,,Vitamine- en supplementenwinkel,http://nowvitamins.nl,beauty_wellbeing,Kolkweg 20 P17,info@nowvitamins.nl,0643097192,8243PN,Lelystad,Nederland
oppeppertje.com,Oppeppertjes zijn aromatische neusinhalers. Ze ondersteunen een betere focus en ademhaling. ,Geuren- en aromaleverancier,http://oppeppertje.com,beauty_wellbeing,Dorpsstraat 248,oppeppertjes@gmail.com,0683770135,1693AL,Wervershoof,Nederland
ColourWell,100% natural hair care and cosmetics,Wellnesscentrum,http://www.colourwell.com,beauty_wellbeing,Plevierstraat 21,info@colourwell.com,0031611566557,5738 BE,Mariahout,Nederland
Doublelockshop,,Beauty en welzijn,http://doublelockshop.com,beauty_wellbeing,Handelsweg 30,info@doublelockshop.com,,9482WE,Tynaarlo,Nederland
SunnyTent, [...]Read More...,Dagspa,http://sunnytent.com,beauty_wellbeing,,klantenservice@sunnytent.com,085-4014168,,,Nederland
Oculista - since 2016,"Oculista Color Lenses is a young company based in Rotterdam and proudly experienced <b>since 2016</b>, which provides the market with natural and qualitative colored contact lenses.

Oculista Color Lenses maintains the highest standards and strives to lead the market as the official distributor of premium brands of colored contact lenses in the industry, such as Solotica, Bella and Adore. With its innovative online advicing tool, Oculista Color Lenses becomes highly successful in successfully helping customers with personal advice.",Wellnesscentrum,https://oculista.nl,beauty_wellbeing,,,,,,Nederland
Shake That Weight Europe,,Beauty en welzijn,https://www.shakethatweight.com,beauty_wellbeing,,hallo@shakethatweight.nl,,,,Verenigd Koninkrijk
MedicOnline.nl,"Wij bieden jou de mogelijkheid om steunkousen en orthopedische producten eenvoudig en veilig online te kopen. Je winkelt wanneer het jou uitkomt en de bestelling wordt thuisbezorgd tegen een lage prijs. 
<br><br>
Ons idee is simpel: het kopen van steunkousen online moet eenvoudig, goedkoop en snel zijn zonder dat de kwaliteit van de producten daarvoor moet inleveren. Bij ons vind je steunkousen, medische compressiekousen en orthopedische producten van topkwaliteit tegen een scherpe prijs. 
<br><br>
Wij hopen dat je door middel van onze producten gezonde en blije voeten en benen krijgt/behoudt. Het dragen van steunkousen is niet altijd even leuk maar hopelijk wordt het toch iets leuker met de kousen van MedicOnline: hippe, moderne en te gekke kousen met diverse kleuren en prints. Love your legs!",Voetverzorging,https://www.mediconline.nl,beauty_wellbeing,Box 11050,info@mediconline.nl,+468278850,161 11,Bromma,Zweden
Earasers Europe ,"There are a plethora of reasons why people say they don't wear earplugs.  Perhaps you've heard, or even said one of the following: ”Earplugs are not comfortable; Custom plugs cost too much; My ear gets sore over time; The music doesn't sound right; They stick way out of my ear; Too noticeable; I had some but they got dirty/grungy; I don't like throwing them away and having to buy new ones all the time; I feel goofy when other people look at me with them in; It's just not cool!”  Well, EARasers are here to challenge all those reasons for not protecting your hearing! ",Cosmetische producten groothandelaar,http://earasers.shop,beauty_wellbeing,Burgemeester Padmosweg 182 ,Info@earasers.shop,,3648 BN,Wilnis ,Nederland
I.C.O.N. Specialist,Iconspecialist biedt in samenwerking met Shane Hair Professionals een breed assortiment van I.C.O.N. producten aan.,Haarproductenwinkel,https://iconspecialist.nl,beauty_wellbeing,Hoog Gagel 4,info@iconspecialist.nl,+31 040 291 2226,5611 BG,Eindhoven,Nederland
Massagepraktijk Ontspan Me,"Bij Ontspan Me gaat het om iedereen in lekker in zijn vel. Bij ons heb je de mogelijkheid om even te ontsnappen aan de alledaagse drukte. In de ervaren handen van de masseurs en schoonheidsspecialisten kun je hier terecht voor massages, beauty en afslankbehandelingen. Ontspan Me is uniek te noemen, want hier wordt enkel 100% natuurlijke producten gewerkt. Kun je het niet eten, dan wordt het ook niet op je huid gesmeerd. De massages zijn professioneel en er wordt klacht-gerelateerd gewerkt. Neem wat gas terug met een ontspanningsmassage. Voor het afslanken wordt zowel met massages als met de Easy Shape Trainer om het afslankproces te ondersteunen.",Wellnesscentrum,http://www.ontspan.me,beauty_wellbeing,Zijlbaan 42a,info@ontspan.me,+31643083619,2352 BN,Leiderdorp,Nederland
Salon Myst Stop,"Al 10 jaar is Salon Mystique een begrip in Vleuten en omgeving. Een behandeling is niet alleen verwennerij. 
We vinden het belangrijk dat er ook aan huidverbetering wordt gewerkt.",Cosmetica winkel,http://www.mystshop.nl,beauty_wellbeing,Pastoor Ohllaan 37,info@salonmyst.nl,030 878 28 13,3451 CB,Vleuten,Nederland
Verzorgingenzo.nl,Verzorgingenzo! voor diverse producten een kleine webshop die aan het groeien is. Helpt u ons mee?,Toiletbenodigdhedenwinkel,http://verzorgingenzo.nl,beauty_wellbeing,Prins Mauritsstraat 43,Info@verzorgingenzo.nl,0623117084,9422gt,Smilde,Nederland
StrongLab,StrongLab is een supplementen webwinkel in Nederland. Bij StrongLab vinden we het erg belangrijk dat jij als klant waar krijgt voor je geld. Daarom bieden wij alleen de beste supplementen aan waarvan de werking getest en wetenschappelijk bewezen is.,Vitamine- en supplementenwinkel,http://stronglab.nl,beauty_wellbeing,,info@stronglab.nl,,,,Nederland
Greenettle,Greenettle offers natural & plastic-free alternatives to plastic dental care products we use every day. Greenettle products were developed with care and love towards you & the planet because you both deserve only the best.,Toiletbenodigdhedenwinkel,https://www.greenettle.com,beauty_wellbeing,,hello@greenettle.com,,,Amsterdam,Nederland
CBD Factory,,Vitamine- en supplementenwinkel,http://cbdfactory.nl,beauty_wellbeing,,,,,,Nederland
Felices.nl,De online expert in huid en haar verzorging ,Natuurlijke geneesmiddelenwinkel,http://felices.nl,beauty_wellbeing,Leidekkerstraat,info@felices.info,+31643203033,9646AV,Veendam,Nederland
Simiediscount.com,"Hartelijk dank voor uw aankoop bij Simiediscount.com, wij zijn benieuwd naar jou ervaring met Simiediscount.com, daarom ontvang je deze mail van Trustpilot.
Wij verzoeken je om deze korte vragenlijst even in te vullen en jou ervaring(en) te delen.
Bij voorbaat hartelijk dank namens Simiediscount.com en hopelijk zien we je terug.",Parfumerie,http://simiediscount.com,beauty_wellbeing,Dorpsweg 119B,simie@simiediscount.com,0641691609,3082 LG,Rotterdam,Nederland
